sample_id,population_abbreviation,project,coverage_hifi,deepconsensus_coverage_hifi,coverage_mm_hifi,production,n50_hifi,coverage_hic,coverage_ill,total_reads_kinnex,coverage_ont,coverage_100kb_ont,coverage_100kb_R1041,coverage_100kb_R941,sequencing_chemistry_ont,read_N50_ont,meth_wg_cov
HG00350,FIN,HPRC,65.80,0.00,65.80,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18278.20,58.78,51.48,16420109.00,80.15,29.81,29.81,0.00,R1041,75082.39,65.80
HG00408,CHS,HPRC,63.37,43.37,57.40,WUSTL_HPRC_HiFi_Year3,18374.09,84.38,36.58,21778143.00,71.69,28.53,0.00,28.53,R941,82671.97,57.40
HG00423,CHS,HPRC,60.83,53.33,54.10,WUSTL_HPRC_HiFi_Year2_TopUp,18824.44,97.64,36.57,12160599.00,60.44,27.51,0.00,27.51,R941,91510.66,54.10
HG00438,CHS,HPRC,77.69,77.69,0.00,WUSTL_HPRC_HiFi_Year1,22616.27,93.74,36.29,14333133.00,136.65,39.84,0.00,39.84,R941,64808.87,43.20
HG005,,extramural,56.90,56.90,0.00,HPRC_PLUS_GIAB,17243.49,,35.36,,166.32,58.34,0.00,58.34,R941,88600.63,48.50
HG00544,CHS,HPRC,66.65,45.45,60.90,WUSTL_HPRC_HiFi_Year2_TopUp,20584.91,132.42,35.58,16109300.00,68.47,16.23,0.00,16.23,R941,63804.95,60.90
HG00558,CHS,HPRC,62.98,40.48,56.50,UW_HPRC_HiFi_Y3,21497.06,38.52,35.25,12646912.00,54.43,26.69,0.00,26.69,R941,98291.97,56.50
HG00597,CHS,HPRC,71.17,48.77,59.10,WUSTL_HPRC_HiFi_Year3,18853.87,104.34,35.96,20552427.00,83.30,29.57,0.00,29.57,R941,77890.32,59.10
HG00609,CHS,HPRC,69.06,38.26,65.20,WUSTL_HPRC_HiFi_Year2_TopUp,19477.66,63.26,37.42,22317518.00,89.15,28.36,0.00,28.36,R941,74385.69,65.20
HG00621,CHS,HPRC,58.41,47.91,10.50,WUSTL_HPRC_HiFi_Year1_TopUp,22090.58,95.86,35.11,15618712.00,66.23,26.43,0.00,26.43,R941,82051.51,51.70
HG00639,PUR,HPRC,66.36,44.06,56.50,UW_HPRC_HiFi_Y3,20629.42,93.20,33.32,18042426.00,85.77,37.44,0.00,37.44,R941,88488.31,56.50
HG00642,PUR,HPRC,64.70,47.70,58.20,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19763.12,100.22,37.26,22234824.00,66.83,32.34,0.00,32.34,R941,97202.44,58.20
HG00658,CHS,HPRC,68.34,40.84,63.40,RU_Y3,18242.87,64.28,35.66,17537411.00,68.25,30.80,0.00,30.80,R941,90648.06,63.40
HG00673,CHS,HPRC,61.20,48.60,12.60,WUSTL_HPRC_HiFi_Year1_TopUp,21473.38,98.57,34.22,10283076.00,61.89,21.88,0.00,21.88,R941,74770.31,53.90
