sample_id,haplotype,assembly_name,location
HG00642,1,HG00642_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00642/local_ancestry/bed/HG00642_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00642,2,HG00642_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00642/local_ancestry/bed/HG00642_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00658,1,HG00658_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00658/local_ancestry/bed/HG00658_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00658,2,HG00658_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00658/local_ancestry/bed/HG00658_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00673,1,HG00673_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00673/local_ancestry/bed/HG00673_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00673,2,HG00673_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00673/local_ancestry/bed/HG00673_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00706,1,HG00706_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00706/local_ancestry/bed/HG00706_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00706,2,HG00706_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00706/local_ancestry/bed/HG00706_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00733,1,HG00733_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00733/local_ancestry/bed/HG00733_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00733,2,HG00733_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00733/local_ancestry/bed/HG00733_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00735,1,HG00735_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00735/local_ancestry/bed/HG00735_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00735,2,HG00735_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00735/local_ancestry/bed/HG00735_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00738,1,HG00738_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00738/local_ancestry/bed/HG00738_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00738,2,HG00738_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00738/local_ancestry/bed/HG00738_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00741,1,HG00741_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00741/local_ancestry/bed/HG00741_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00741,2,HG00741_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00741/local_ancestry/bed/HG00741_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01071,1,HG01071_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01071/local_ancestry/bed/HG01071_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01071,2,HG01071_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01071/local_ancestry/bed/HG01071_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01074,1,HG01074_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01074/local_ancestry/bed/HG01074_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01074,2,HG01074_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01074/local_ancestry/bed/HG01074_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01081,1,HG01081_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01081/local_ancestry/bed/HG01081_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01081,2,HG01081_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01081/local_ancestry/bed/HG01081_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01099,1,HG01099_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01099/local_ancestry/bed/HG01099_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01099,2,HG01099_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01099/local_ancestry/bed/HG01099_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01106,1,HG01106_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01106/local_ancestry/bed/HG01106_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01106,2,HG01106_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01106/local_ancestry/bed/HG01106_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01109,1,HG01109_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01109/local_ancestry/bed/HG01109_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01109,2,HG01109_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01109/local_ancestry/bed/HG01109_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01123,1,HG01123_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01123/local_ancestry/bed/HG01123_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01123,2,HG01123_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01123/local_ancestry/bed/HG01123_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01150,1,HG01150_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01150/local_ancestry/bed/HG01150_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01150,2,HG01150_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01150/local_ancestry/bed/HG01150_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01167,1,HG01167_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01167/local_ancestry/bed/HG01167_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01167,2,HG01167_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01167/local_ancestry/bed/HG01167_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01175,1,HG01175_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01175/local_ancestry/bed/HG01175_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01175,2,HG01175_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01175/local_ancestry/bed/HG01175_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01192,1,HG01192_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01192/local_ancestry/bed/HG01192_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01192,2,HG01192_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01192/local_ancestry/bed/HG01192_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
