sample_id,haplotype,assembly_name,browser
HG00423,1,HG00423_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042076665.1
HG00544,1,HG00544_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042076675.1
HG01943,1,HG01943_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042076525.1
HG02735,1,HG02735_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042076445.1
HG03225,1,HG03225_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042076455.1
NA19159,1,NA19159_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_046056445.1
HG00126,1,HG00126_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042078065.1
HG00128,1,HG00128_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042078025.1
HG00133,1,HG00133_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042078005.1
HG00146,1,HG00146_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077995.1
HG00232,1,HG00232_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077985.1
HG00290,1,HG00290_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077965.1
HG00320,1,HG00320_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077865.1
HG00321,1,HG00321_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077015.1
HG01786,1,HG01786_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042076995.1
HG02178,1,HG02178_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077705.1
HG02583,1,HG02583_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042076985.1
HG03270,1,HG03270_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077695.1
HG03583,1,HG03583_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077635.1
HG03874,1,HG03874_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042076925.1
NA18505,1,NA18505_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077605.1
NA18508,1,NA18508_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077095.1
NA18608,1,NA18608_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077625.1
NA18620,1,NA18620_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077615.1
NA18952,1,NA18952_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077595.1
NA18974,1,NA18974_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077575.1
NA18976,1,NA18976_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077505.1
NA19036,1,NA19036_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077495.1
NA19443,1,NA19443_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042076855.1
NA19700,1,NA19700_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077085.1
NA20870,1,NA20870_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077485.1
NA21093,1,NA21093_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077025.1
NA21106,1,NA21106_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077005.1
NA21110,1,NA21110_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042077475.1
HG02392,1,HG02392_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_046043155.1
HG02514,1,HG02514_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_045523115.1
HG02841,1,HG02841_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_045523135.1
HG02984,1,HG02984_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_045524125.1
HG03050,1,HG03050_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_045524245.1
NA20799,1,NA20799_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_045523085.1
HG01109,1,HG01109_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018504645.2
HG02055,1,HG02055_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018505855.2
HG02080,1,HG02080_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018504055.2
HG02109,1,HG02109_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018505865.2
HG02723,1,HG02723_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018504075.2
HG02818,1,HG02818_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018503575.2
HG03098,1,HG03098_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018506155.2
HG03486,1,HG03486_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018503245.2
NA18906,1,NA18906_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018503285.2
NA20129,1,NA20129_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018504625.2
NA21309,1,NA21309_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018504665.2
HG00733,1,HG00733_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018506955.2
HG01243,1,HG01243_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018504045.2
NA19240,1,NA19240_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018503265.2
HG005,1,HG005_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018506945.2
HG00097,1,HG00097_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044165215.1
HG00235,1,HG00235_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044165645.1
HG00253,1,HG00253_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044166805.1
HG00272,1,HG00272_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044166515.1
HG00329,1,HG00329_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044166575.1
HG00344,1,HG00344_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044166765.1
HG00350,1,HG00350_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044167235.1
HG01167,1,HG01167_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044167135.1
HG03369,1,HG03369_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044165925.1
HG03521,1,HG03521_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044166285.1
HG03784,1,HG03784_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044166095.1
NA18565,1,NA18565_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044166395.1
NA19682,1,NA19682_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044165125.1
NA19776,1,NA19776_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044165085.1
NA19835,1,NA19835_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044164705.1
NA19909,1,NA19909_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044164695.1
NA20282,1,NA20282_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044166585.1
NA20346,1,NA20346_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044166545.1
NA20809,1,NA20809_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044166435.1
NA20850,1,NA20850_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044166535.1
NA21102,1,NA21102_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044166315.1
NA21144,1,NA21144_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_044164725.1
HG00735,1,HG00735_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018472715.2
HG02155,1,HG02155_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_043304525.1
HG02630,1,HG02630_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018469945.2
HG03139,1,HG03139_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_043304645.1
HG03470,1,HG03470_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_043305115.1
HG03579,1,HG03579_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018472835.2
NA20805,1,NA20805_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_043304975.1
HG00408,2,HG00408_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041900245.1
HG00597,2,HG00597_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041900265.1
HG01192,2,HG01192_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041900275.1
HG01261,2,HG01261_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041899995.1
HG02015,2,HG02015_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041900105.1
HG02056,2,HG02056_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041900015.1
HG02129,2,HG02129_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041900385.1
HG02258,2,HG02258_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041900135.1
HG03834,2,HG03834_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041900115.1
HG01975,2,HG01975_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_045999905.1
HG02602,2,HG02602_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_046000055.1
HG04187,2,HG04187_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_045999925.1
NA18879,2,NA18879_hap2_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_045999895.1
NA20752,2,NA20752_hap2_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_045999885.1
HG02145,2,HG02145_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018852585.2
HG00609,2,HG00609_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027095.1
HG00642,2,HG00642_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028155.1
HG00738,2,HG00738_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028935.1
HG01099,2,HG01099_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042026525.1
HG01255,2,HG01255_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028895.1
HG01346,2,HG01346_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028165.1
HG01433,2,HG01433_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027645.1
HG01496,2,HG01496_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027145.1
HG01884,2,HG01884_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027665.1
HG01981,2,HG01981_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027065.1
HG01993,2,HG01993_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027655.1
